NAME,PRICE,24H CHANGE,24H VOLUME,MARKET CAP
Bitcoin,"$16,660.11",+1.52%,$30.75 B,$315.13 B
Ethereum,"$1,173.68",+2.73%,$10.64 B,$141.85 B
Tether,$1.01,-0.01%,$43.33 B,$65.43 B
BNB,$299.13,+11.47%,$1.71 B,$47.09 B
USD Coin,$1.00,+0.02%,$3.78 B,$44.14 B
Binance USD,$0.9999,-0.07%,$7.78 B,$22.75 B
XRP,$0.38,+0.21%,$1.11 B,$18.8 B
Cardano,$0.3177,-0.14%,$307.75 M,$10.76 B
Dogecoin,$0.08095,+2.25%,$513.09 M,$10.58 B
Polygon,$0.8576,-1.17%,$464.65 M,$7.38 B
Polkadot,$5.43,+0.92%,$218 M,$6.09 B
Dai,$1.01,+0.04%,$320.41 M,$5.85 B
Litecoin,$78.95,+11.44%,$1.99 B,$5.57 B
Wrapped TRON,$0.0508,+0.67%,$2.31 M,$5.17 B
Shiba Inu,$0.000009042,+2.66%,$165.74 M,$4.87 B
HEX,$0.02747,-0.18%,$3.92 M,$4.76 B
Solana,$13.64,+9.48%,$635.1 M,$4.72 B
TRON,$0.05078,+0.76%,$394.39 M,$4.68 B
Uniswap,$5.52,+1.71%,$113.37 M,$4.12 B
UNUS SED LEO,$4.22,+10.66%,$2.69 M,$4.03 B
Lido stETH,"$1,141.66",+3.93%,"$450,300",$3.98 B
Wrapped Bitcoin,"$16,664.40",+1.41%,$129.98 M,$3.79 B
Avalanche,$12.70,+2.09%,$173.3 M,$3.76 B
Chainlink,$6.51,+0.71%,$378.43 M,$3.26 B
Cosmos,$9.87,+4.13%,$128.36 M,$2.78 B
Ethereum Classic,$19.71,+4.48%,$324.84 M,$2.66 B
Monero,$134.81,+4.21%,$114.11 M,$2.45 B
Stellar,$0.08881,+0.53%,$56.46 M,$2.24 B
Bitcoin Cash,$116.24,+5.83%,$355.94 M,$2.2 B
Toncoin,$1.73,-0.43%,$6.37 M,$2.11 B
Algorand,$0.2433,+0.38%,$103.27 M,$1.7 B
Cronos,$0.06692,+1.90%,$23.5 M,$1.66 B
Filecoin,$4.45,+1.78%,$127.94 M,$1.42 B
VeChain,$0.01915,+3.09%,$38.42 M,$1.35 B
NEAR Protocol,$1.63,-0.98%,$133.6 M,$1.33 B
Quant,$111.45,+2.02%,$41.45 M,$1.32 B
OKB,$21.31,+5.47%,$21.13 M,$1.28 B
Flow,$1.18,+1.91%,$37.4 M,$1.2 B
ApeCoin,$3.35,+1.41%,$160.8 M,$1.19 B
Frax,$0.992,-0.48%,$8.71 M,$1.17 B
Chiliz,$0.1817,-1.52%,$363.79 M,$1.09 B
Hedera,$0.04964,+1.95%,$15.76 M,$1.08 B
Wrapped BNB,$295.09,+11.78%,$180.91 M,$1.05 B
Internet Computer,$3.87,+2.71%,$22.14 M,$1.04 B
Elrond,$42.02,+2.08%,$25.29 M,$981.73 M
EOS,$0.9117,+2.88%,$137.9 M,$962.46 M
Luna Classic,$0.0001767,+2.32%,$144.33 M,$958.11 M
Pax Dollar,$0.9999,+0.02%,$3.52 M,$945.55 M
Chain,$0.0424,+2.96%,$16.58 M,$910.42 M
Tezos,$1.00,+2.09%,$19.47 M,$895.26 M
